ikkajo hanza-handachi  hanmi nage	一ヶ条 半座半立	半身投	hanmi nage	half-body throw	ikkajo hanza-handachi	section one half-sitting half-standing	migite dori (pull)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h01m53s#t=1h01m53s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=2m52s#t=2m52s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=3m16s#t=3m16s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=13m49s#t=13m49s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo hanza-handachi  ura otoshi	一ヶ条 半座半立	裏落	ura otoshi	rear drop	ikkajo hanza-handachi	section one half-sitting half-standing	hidarite dori (push)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h02m15s#t=1h02m15s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=3m12s#t=3m12s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=3m24s#t=3m24s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=14m54s#t=14m54s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo hanza-handachi  izori	一ヶ条 半座半立	居反	izori	sitting throw back	ikkajo hanza-handachi	section one half-sitting half-standing	ryote dori (push)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h02m39s#t=1h02m39s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=3m28s#t=3m28s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=3m31s#t=3m31s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=15m35s#t=15m35s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo hanza-handachi  kata otoshi	一ヶ条 半座半立	肩落	kata otoshi	shoulder drop	ikkajo hanza-handachi	section one half-sitting half-standing	kubi jime	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h02m54s#t=1h02m54s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=3m39s#t=3m39s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=3m39s#t=3m39s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=16m06s#t=16m06s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo hanza-handachi  irimi nage	一ヶ条 半座半立	入身投	irimi nage	enter-body throw	ikkajo hanza-handachi	section one half-sitting half-standing	ryote dori (pull)	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h03m08s#t=1h03m08s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=siTa1c_JxB0&t=3m54s#t=3m54s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=3m46s#t=3m46s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=16m41s#t=16m41s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  ippon dori	一ヶ条 立合	一本捕	ippon dori	one arm capture	ikkajo tachi-ai	section one both standing	shomen uchi	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h03m24s#t=1h03m24s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=0m11s#t=0m11s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=4m05s#t=4m05s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=17m34s#t=17m34s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=12m38s#t=12m38s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  kuruma daoshi	一ヶ条 立合	車倒	kuruma daoshi	wheel topple	ikkajo tachi-ai	section one both standing	yokomen uchi	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h03m35s#t=1h03m35s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=0m32s#t=0m32s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=4m20s#t=4m20s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=18m30s#t=18m30s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=16m04s#t=16m04s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  gyaku ude dori	一ヶ条 立合	逆腕捕	gyaku ude dori	reverse arm capture	ikkajo tachi-ai	section one both standing	katate mune dori	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h03m42s#t=1h03m42s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=0m51s#t=0m51s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=4m31s#t=4m31s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=19m05s#t=19m05s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=19m07s#t=19m07s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  koshi guruma	一ヶ条 立合	腰車	koshi guruma	lower-back wheel	ikkajo tachi-ai	section one both standing	emon jime	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h03m51s#t=1h03m51s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=1m12s#t=1m12s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=4m47s#t=4m47s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=20m06s#t=20m06s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=21m54s#t=21m54s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
ikkajo tachi-ai  karame nage	一ヶ条 立合	搦投	karame nage	tangle throw	ikkajo tachi-ai	section one both standing	mune dori shomen uchi	<div><A href="http://www.youtube.com/watch?v=u0az6iuLOCo&t=1h03m59s#t=1h03m59s">Kondō Katsuyuki - Daitō-ryū Aiki-jūjutsu</A></div> <div><A href="https://www.youtube.com/watch?v=KDXqImFOuM4&t=1m38s#t=1m38s">Daitō-ryū Aiki-jūjutsu Shōyōkan</A></div> <div><A href="https://www.youtube.com/watch?v=HTkFIcdb56M&t=5m18s#t=5m18s">Hakuhō-ryu Aiki-jūjutsu UK</A></div> <div><A href="https://www.youtube.com/watch?v=cRTye-wq5yI&t=20m44s#t=20m44s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> <div><A href="https://www.youtube.com/watch?v=Q_jGFAGqFhU&t=24m44s#t=24m44s">Nihon Daitō-ryū Aikibudō Seishin Kai - Katō Shigemitsu</A></div> 	
