4 kyu	shomen-uchi kote-gaeshi (2)	https://aiki.info/y3?t=2h21m40s#t=2h21m40s
4 kyu	ryote-mochi tenchi-nage (1)	https://aiki.info/y3?t=3h02m12s#t=3h02m12s
4 kyu	suwari-waza ryote-mochi kokyu-ho (1)	https://aiki.info/y3?t=3h07m46s#t=3h07m46s
3 kyu	hanmi-handachi ryote-mochi shiho-nage	https://aiki.info/y1?t=53m52s#t=53m52s
3 kyu	kata-mochi sokumen irimi-nage (1)	https://aiki.info/y3?t=13m08s#t=13m08s
3 kyu	shomen-tsuki kote-gaeshi (1)	https://aiki.info/y3?t=2h32m55s#t=2h32m55s
3 kyu	ryote-mochi shiho-nage (1)	https://aiki.info/y1?t=38m45s#t=38m45s
3 kyu	ryote-mochi shiho-nage (2)	https://aiki.info/y1?t=40m56s#t=40m56s
3 kyu	yokomen-uchi shiho-nage (1)	https://aiki.info/y1?t=42m56s#t=42m56s
3 kyu	yokomen-uchi shiho-nage (2)	https://aiki.info/y1?t=45m16s#t=45m16s
3 kyu	suwari-waza shomen-uchi ikkajo-osae (1)	https://aiki.info/y1?t=1h02m21s#t=1h02m21s
3 kyu	suwari-waza shomen-uchi ikkajo-osae (2)	https://aiki.info/y1?t=1h05m33s#t=1h05m33s
3 kyu	yokomen-uchi ikkajo-osae (1)	https://aiki.info/y1?t=1h06m55s#t=1h06m55s
3 kyu	suwari-waza yokomen-uchi ikkajo-osae (1)	https://aiki.info/y1?t=1h08m38s#t=1h08m38s
3 kyu	yokomen-uchi ikkajo-osae (2)	https://aiki.info/y1?t=1h10m18s#t=1h10m18s
3 kyu	suwari-waza yokomen-uchi ikkajo-osae (2)	https://aiki.info/y1?t=1h11m41s#t=1h11m41s
3 kyu	kata-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h31m04s#t=1h31m04s
3 kyu	suwari-waza kata-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h32m59s#t=1h32m59s
3 kyu	kata-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h34m44s#t=1h34m44s
3 kyu	suwari-waza kata-mochi ikkajo-osae (2)	https://aiki.info/y1?t=1h36m04s#t=1h36m04s
3 kyu	ushiro-ryote-mochi ikkajo-osae (1)	https://aiki.info/y1?t=1h37m29s#t=1h37m29s
